tag,game_count,median_owner_mid,median_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,free_operation_score
Crime,50,35000.0,68.0,83.75,0.0,0.0,0.1129202574476872
Local Co-Op,124,35000.0,65.0,83.89261744966443,0.0,0.0,0.10426829182673471
Relaxing,376,10000.0,46.0,85.9181588751352,0.0,0.0,0.09492343092720847
Comic Book,66,35000.0,78.0,82.49659632402995,0.0,0.0,0.08962276359615456
Split Screen,42,35000.0,55.0,84.67741935483872,0.0,0.0,0.08790214746087598
Alternate History,58,75000.0,161.0,77.81629116117851,0.0,0.0,0.08540874813539744
Dark Comedy,59,10000.0,39.0,86.79646056657349,0.0,0.0,0.08540385379487601
Turn-Based,155,75000.0,283.0,74.20323781588448,0.0,0.0,0.08487480037151561
Drama,141,35000.0,38.0,86.91492136003524,0.0,0.0,0.08273222357775273
Singleplayer,2558,35000.0,76.0,82.44490005125577,0.0,0.0,0.07651379999169595
Thriller,86,35000.0,77.5,82.3170731707317,0.0,0.0,0.07627396914800028
Logic,134,10000.0,26.0,89.15956151035323,0.0,0.0,0.07568591265058539
Time Manipulation,40,35000.0,67.5,83.06273946360153,0.0,0.0,0.06844470790137079
Abstract,112,10000.0,33.0,87.5,0.0,0.0,0.06480755478222805
Puzzle-Platformer,212,10000.0,42.5,85.84258140503002,0.0,0.0,0.06023598222789504
City Builder,71,75000.0,144.0,66.77308650530449,0.0,1.0,0.05883866695640708
Team-Based,193,75000.0,263.0,73.98982640865111,0.0,0.0,0.04353187907795403
Bullet Hell,166,35000.0,41.5,85.69582299421009,0.0,0.0,0.04229463902042857
1990's,101,35000.0,39.0,85.86956521739131,0.0,0.0,0.02923661512908791
Psychedelic,96,35000.0,38.0,85.99873577749685,0.0,0.0,0.027213966503756164
Inventory Management,44,35000.0,109.5,79.29169262139588,0.0,0.0,0.025968932320128906
Experimental,175,35000.0,48.0,84.38078830592534,0.0,0.0,0.017976089649352506
Interactive Fiction,158,35000.0,54.0,83.63636363636363,0.0,0.0,0.017806923574938054
Platformer,500,10000.0,44.5,84.71997373852602,0.0,0.0,0.009697691966691254
Robots,130,35000.0,110.5,78.70563674321504,0.0,0.0,-0.006039374036026797
JRPG,130,35000.0,53.0,83.34886429819453,0.0,0.0,-0.006753547769389394
Rhythm,64,10000.0,35.0,85.95143146241296,0.0,0.0,-0.006793556097032231
Retro,431,35000.0,45.0,84.30000813471081,0.0,0.0,-0.011499027340554321
Twin Stick Shooter,73,35000.0,51.0,83.43198450279812,0.0,0.0,-0.016399761183003292
Precision Platformer,136,10000.0,22.0,88.41919304729223,0.0,0.0,-0.03156043189989042
Soundtrack,44,35000.0,58.0,82.30080881087592,0.0,0.0,-0.03581060732357263
Conversation,92,35000.0,35.5,85.36580099736011,0.0,0.0,-0.036914746434371
Side Scroller,174,10000.0,48.0,83.41423948220066,0.0,0.0,-0.040594037509210666
First-Person,759,35000.0,133.0,76.9393702506637,0.0,0.0,-0.04155590762052983
War,185,75000.0,263.0,72.55936675461741,0.0,0.0,-0.043149933341087576
Free to Play,3827,35000.0,116.0,77.77777777777779,0.0,0.0,-0.043532262639257024
Grid-Based Movement,50,35000.0,20.0,88.76404494382022,0.0,0.0,-0.04605640576896025
Minimalist,273,10000.0,31.0,85.99200581395348,0.0,0.0,-0.05015894276083956
Text-Based,139,35000.0,51.0,82.64462809917356,0.0,0.0,-0.06411133409836721
Controller,298,35000.0,71.5,80.42071197411003,0.0,0.0,-0.06957472487688733
Dark,310,35000.0,65.0,80.76923076923077,0.0,0.0,-0.08500011401891884
Shoot 'Em Up,189,35000.0,29.0,85.71428571428571,0.0,0.0,-0.09209702960052614
Investigation,98,55000.0,51.5,82.07792207792208,0.0,0.0,-0.09472907475636877
Runner,93,10000.0,24.0,86.79245283018868,0.0,0.0,-0.09769626074337973
Top-Down,360,35000.0,30.0,85.2749852158486,0.0,0.0,-0.10596035412671624
Cyberpunk,115,35000.0,52.0,81.78564226658601,0.0,0.0,-0.10875265268303778
Colorful,623,10000.0,40.0,83.33333333333334,0.0,0.0,-0.11484508527965703
Narration,114,35000.0,40.0,83.3157894736842,0.0,0.0,-0.1159081935937743
Choose Your Own Adventure,170,35000.0,52.5,81.6007326007326,0.0,0.0,-0.11630453052822183
Cartoon,167,10000.0,45.0,82.39700374531836,0.0,0.0,-0.1268157152658492
Score Attack,126,10000.0,23.5,86.36363636363636,0.0,0.0,-0.13154129082344207
Stylized,343,35000.0,38.0,83.33333333333334,0.0,0.0,-0.1343018889310545
Trading Card Game,74,75000.0,266.0,70.94594594594594,0.0,0.0,-0.13652252631487144
Software,81,35000.0,66.0,79.81533009708403,0.0,0.0,-0.13695323771662868
Post-apocalyptic,127,35000.0,92.0,77.69623772385904,0.0,0.0,-0.1377904414494619
Exploration,563,35000.0,66.0,79.75159954836282,0.0,0.0,-0.14081512886052558
Arcade,615,10000.0,35.0,83.69565217391305,0.0,0.0,-0.1434874059327313
Isometric,106,75000.0,122.5,75.7473663483312,0.0,0.0,-0.1455343349239675
Gore,362,35000.0,148.0,74.5292425650326,0.0,0.0,-0.14632156854385495
Driving,84,35000.0,85.5,77.9874213836478,0.0,0.0,-0.14833454466218923
America,45,35000.0,54.0,80.76358296622614,0.0,0.0,-0.15627546628325237
Physics,282,10000.0,40.0,82.56880733944955,0.0,0.0,-0.16117319988564596
Demons,79,35000.0,36.0,83.10235431624645,0.0,0.0,-0.16877987177602502
Party-Based RPG,65,35000.0,62.0,79.62648556876061,0.0,0.0,-0.17234608785471076
Procedural Generation,151,10000.0,40.0,82.34086242299796,0.0,0.0,-0.17498601762854013
Fantasy,677,35000.0,84.0,77.63899029936371,0.0,0.0,-0.17625428385733888
Linear,226,10000.0,25.5,85.0925925925926,0.0,0.0,-0.1780331777364069
Voxel,51,35000.0,62.0,79.5224518888097,0.0,0.0,-0.1786502348506354
Bullet Time,41,35000.0,38.0,82.56880733944955,0.0,0.0,-0.1806300035370434
Local Multiplayer,227,35000.0,54.0,80.29945220152213,0.0,0.0,-0.18440047894651168
Destruction,76,35000.0,102.0,76.21821833200713,0.0,0.0,-0.187620249937695
Adventure,2369,35000.0,69.0,78.66666666666666,0.0,0.0,-0.1895173664692363
2D Platformer,285,10000.0,22.0,85.81016299137104,0.0,0.0,-0.18966027992096146
Strategy RPG,74,35000.0,106.5,75.82165948275862,0.0,0.0,-0.19501388075339418
Nature,105,10000.0,39.0,82.16783216783216,0.0,0.0,-0.1950779462235767
Hidden Object,130,10000.0,40.0,81.9672131147541,0.0,0.0,-0.197628109739539
Historical,137,35000.0,84.0,77.27272727272727,0.0,0.0,-0.19844878817726497
Arena Shooter,157,35000.0,83.0,77.33499377334994,0.0,0.0,-0.19927986900615335
Shooter,703,75000.0,113.0,75.36890213264806,0.0,0.0,-0.19960921161160947
Top-Down Shooter,156,35000.0,33.0,83.0997526793075,0.0,0.0,-0.20183499733317234
1980s,104,35000.0,28.0,84.0909090909091,0.0,0.0,-0.2036586329910973
