snapshot,unique_appids,total_review_count,median_review_count,total_recommendations,median_recommendations,max_peak_ccu,median_positive_rate_30plus,free_game_share
March 2025,89618,132607623,13.0,90460506,0.0,1212356,81.08108108108108,0.15800397241625566
May 2024,83646,124126364,15.0,83936893,0.0,1362469,80.95238095238095,0.15271501327021017
