cluster,count,price_median,review_count_median,positive_rate_median,recommendations_median,peak_ccu_median,tags_count_mean,platform_count_mean,is_free_ratio,playtime_median,label
1,8683,14.99,1708.0,85.46255506607929,1255.0,13.0,17.98514338362317,1.5545318438327766,0.0468732005067373,103.0,High-Traction Mainstream
3,6375,0.0,45.0,77.67464582315584,0.0,0.0,10.866980392156863,1.3327058823529412,0.9967058823529412,0.0,Free-to-Play / Live Service
2,18845,4.99,33.0,70.58823529411765,0.0,0.0,7.855770761475192,1.4834173520827805,0.00037145131334571506,0.0,Mid-Tier Standard
4,21076,5.99,19.0,90.9090909090909,0.0,0.0,18.77666540140444,1.3883564243689506,0.0019927880053141013,0.0,Low-Visibility Long Tail
0,17584,4.99,6.0,75.26494045668088,0.0,0.0,13.44358507734304,1.0481687898089171,0.0,0.0,Low-Visibility Long Tail
