tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Dungeon Crawler,2400,1208,30.5,1816.8466666666666,82.13860927850756,0.0,0.0,0.28220788361273225,0.050416666666666665,6.99,2022.0,0.026780334307839944,Very High
Dungeons & Dragons,78,61,113.5,11721.78205128205,83.01886792452831,0.0,2.0,1.0049531718919529,0.14102564102564102,8.99,2021.0,0.0008703608650047982,Low
Dwarf,119,104,489.0,8608.714285714286,80.16183099225458,240.0,2.0,1.2994323145079372,0.14285714285714285,7.99,2018.0,0.0013278582427637305,Low
Dynamic Narration,382,177,26.0,1413.2408376963351,85.13513513513513,0.0,0.0,0.19569796326579894,0.07329842931937172,5.99,2022.0,0.004262536543997858,Medium
Dystopian,1050,516,28.0,1577.8533333333332,85.29265873015873,0.0,0.0,0.26089909132636624,0.06952380952380953,6.99,2022.0,0.011716396259679974,High
Early Access,9187,3979,21.0,2117.9773593120713,76.83469236471461,0.0,0.0,0.1449507021002536,0.10732556873843474,6.99,2021.0,0.10251288803588565,Very High
Economy,1568,1009,84.5,3130.4298469387754,77.89855072463769,0.0,1.0,0.768276166377979,0.051658163265306124,9.99,2022.0,0.017496485081122094,High
Education,2268,873,16.0,572.3271604938271,83.80952380952381,0.0,0.0,0.0369584658413201,0.1111111111111111,4.99,2021.0,0.025307415920908745,High
Electronic,38,22,41.0,272.2105263157895,93.12044155332151,0.0,0.0,0.08669229652287859,0.05263157894736842,2.99,2021.0,0.00042402195987413245,Low
Electronic Music,97,31,15.0,307.11340206185565,90.24687065368568,0.0,0.0,-0.020684636478106463,0.07216494845360824,5.99,2022.0,0.0010823718449418645,Low
Elf,16,6,21.5,8435.0625,85.13796864907258,0.0,0.0,0.2076487280245045,0.0625,4.99,2019.5,0.00017853556205226628,Low
Emotional,2423,1285,34.0,1184.1320676846883,89.58333333333334,0.0,0.0,0.24766889177968832,0.05777961205117623,5.99,2023.0,0.027036979178290076,Very High
