price_bucket,game_count,median_review_count,mean_review_count,median_recommendations,median_peak_ccu,median_positive_rate_30plus,median_playtime,game_share
Free,14160,0.0,2431.2370056497175,0.0,0.0,77.45098039215686,0.0,0.15800397241625566
<$5,39388,9.0,304.378719406926,0.0,0.0,79.45205479452055,0.0,0.43950991988216653
$5-$10,19090,16.0,732.1019381875327,0.0,0.0,82.68824771287827,0.0,0.2130152424736102
$10-$20,12731,57.0,2380.9905741889875,0.0,0.0,83.4983498349835,0.0,0.14205851503046263
$20-$40,3356,263.5,7850.650774731824,228.0,2.0,81.97138314785374,0.0,0.037447834140462856
$40+,893,149.0,17421.541993281076,137.0,4.0,79.72710576491701,0.0,0.009964516057042112
